"","Sample","Mouse","Treatment_des","Date","reads_pre_filt","reads_post_filt","host_percent"
"70","C04M4DR","C04M4","Diet Rest","23/11/2020",31994546,31687972,0.58
"71","C04M5HT","C04M5","Heat","19/10/2020",50311234,49465922,3.11
"72","C04M5HR","C04M5","Heat_rest","25/10/2020",37693196,36910280,2.52
"73","C04M5CD","C04M5","Cold","04/11/2020",28782658,28355008,2.61
"74","C04M5CR","C04M5","Cold_rest","10/11/2020",29881316,29472994,0.92
"75","C04M5DT","C04M5","Diet","17/11/2020",44654570,43857178,2.65
"76","C04M5DR","C04M5","Diet Rest","23/11/2020",32914522,32522384,1
"77","C05M1OP","C05M1","Optimal","02/10/2020",108907802,107501482,0.35
"78","C05M1HT","C05M1","Heat","19/10/2020",53417414,52206488,2.06
"79","C05M1HR","C05M1","Heat_rest","25/10/2020",61570490,60622060,0.69
"80","C05M1CD","C05M1","Cold","04/11/2020",58062668,57092604,0.3
"81","C05M1CR","C05M1","Cold_rest","10/11/2020",72491774,70845178,0.11
"82","C05M1DT","C05M1","Diet","17/11/2020",52015114,51077246,1.59
"83","C05M1DR","C05M1","Diet Rest","23/11/2020",57921652,56739548,1.42
"84","C05M2OP","C05M2","Optimal","02/10/2020",28947020,28704454,0.29
"85","C05M2HT","C05M2","Heat","19/10/2020",18227616,18067032,2.4
"86","C05M2HR","C05M2","Heat_rest","25/10/2020",18327252,18153028,4.41
"87","C05M2CD","C05M2","Cold","04/11/2020",18153776,17989562,0.16
"88","C05M2CR","C05M2","Cold_rest","10/11/2020",26260376,25999862,1.15
"89","C05M2DT","C05M2","Diet","17/11/2020",24433608,24203974,3.27
"90","C05M2DR","C05M2","Diet Rest","23/11/2020",23175990,22948822,1.15
"91","C05M3OP","C05M3","Optimal","02/10/2020",44990288,44435538,1.84
"92","C05M3HT","C05M3","Heat","19/10/2020",40680186,40117442,7.23
"93","C05M3HR","C05M3","Heat_rest","25/10/2020",48482570,47798440,0.81
"94","C05M3CD","C05M3","Cold","04/11/2020",41263536,40654882,0.66
"95","C05M3CR","C05M3","Cold_rest","10/11/2020",34794000,34328712,0.52
"96","C05M3DT","C05M3","Diet","17/11/2020",26452214,26140544,3.3
"97","C05M3DR","C05M3","Diet Rest","23/11/2020",38685782,38044976,1.67
"98","C05M4OP","C05M4","Optimal","02/10/2020",19512248,18806448,0.58
"99","C05M4HT","C05M4","Heat","19/10/2020",27445366,26674280,1.19
"100","C05M4HR","C05M4","Heat_rest","25/10/2020",76457252,74258810,3.64
"101","C05M4CD","C05M4","Cold","04/11/2020",21954386,21322924,2
"102","C05M4CR","C05M4","Cold_rest","10/11/2020",17678418,17305918,1.09
"103","C05M4DT","C05M4","Diet","17/11/2020",28639084,27873204,2.87
"104","C05M4DR","C05M4","Diet Rest","23/11/2020",27778198,27118318,3.19
"105","C05M5OP","C05M5","Optimal","02/10/2020",86998288,84994020,8.42
"106","C05M5HT","C05M5","Heat","19/10/2020",71709366,70534480,3.01
"107","C05M5HR","C05M5","Heat_rest","25/10/2020",46997602,46204784,2.07
"108","C05M5CD","C05M5","Cold","04/11/2020",71345034,70269442,2.49
"109","C05M5CR","C05M5","Cold_rest","10/11/2020",54161648,53304712,0.77
"110","C05M5DT","C05M5","Diet","17/11/2020",40095170,39431956,2.73
"111","C05M5DR","C05M5","Diet Rest","23/11/2020",53201774,52230182,3.17
"112","C06M1OP","C06M1","Optimal","02/10/2020",36913226,36584420,1.87
"113","C06M1HT","C06M1","Heat","19/10/2020",28490512,28235956,1.98
"114","C06M1HR","C06M1","Heat_rest","25/10/2020",19164918,18967958,2.8
"115","C06M1CD","C06M1","Cold","04/11/2020",14638366,14476924,4.22
"116","C06M1CR","C06M1","Cold_rest","10/11/2020",22793196,22607604,0.02
"117","C06M1DT","C06M1","Diet","17/11/2020",21067942,20783988,1.62
"118","C06M1DR","C06M1","Diet Rest","23/11/2020",13634484,13481478,0.94
"119","C06M2OP","C06M2","Optimal","02/10/2020",32447282,31377446,36.71
"120","C06M2HT","C06M2","Heat","19/10/2020",26942338,26289352,3.31
"121","C06M2HR","C06M2","Heat_rest","25/10/2020",19825118,19309710,2.8
"122","C06M2CD","C06M2","Cold","04/11/2020",48016408,46617196,4.66
"123","C06M2CR","C06M2","Cold_rest","10/11/2020",22807246,22145190,0.77
"124","C06M2DT","C06M2","Diet","17/11/2020",26630018,26095842,1.02
"125","C06M2DR","C06M2","Diet Rest","23/11/2020",29120004,28552548,1.07
